"","asv_code","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"1","ed4ae22e6f","77319f9e18",21,0,12,0,0,33,0.636363636363636,0,0,0.363636363636364,0,0.363636363636364,0.636363636363636,"Polar-Temperate"
"2","3105a2354e","23b5a215cb",46,18,34,7,0,105,0.438095238095238,0.171428571428571,0,0.323809523809524,0.0666666666666667,0.495238095238095,0.504761904761905,"Polar-Temperate"
"3","ec4282114f","3023c9b233",47,8,5,6,0,66,0.712121212121212,0.121212121212121,0,0.0757575757575758,0.0909090909090909,0.196969696969697,0.803030303030303,"Polar-Temperate"
"4","b7ab8df4dc","28e79c69f7",56,11,59,36,5,167,0.335329341317365,0.0658682634730539,0.029940119760479,0.353293413173653,0.215568862275449,0.419161676646707,0.550898203592814,"Polar-Temperate"
"5","c69e8e07e3","ff452c05c1",18,0,0,0,0,18,1,0,0,0,0,0,1,"Polar"
"6","2044dfe072","d246da9ef2",24,0,11,15,0,50,0.48,0,0,0.22,0.3,0.22,0.78,"Polar-Temperate"
"7","d0f07245bd","380745795d",17,0,0,0,0,17,1,0,0,0,0,0,1,"Polar"
"8","0e63043d86","61852ebe72",35,0,0,0,0,35,1,0,0,0,0,0,1,"Polar"
"9","35dd9ad32d","6480ccf6dd",28,0,0,0,0,28,1,0,0,0,0,0,1,"Polar"
"10","3db259488e","9c72c02639",16,0,0,0,0,16,1,0,0,0,0,0,1,"Polar"
"11","c699cb1809","3c907bbfd2",81,55,15,0,0,151,0.536423841059603,0.364238410596026,0,0.0993377483443709,0,0.463576158940397,0.536423841059603,"Polar-Temperate"
"13","15a3691ed4","c90d714653",42,11,0,0,0,53,0.792452830188679,0.207547169811321,0,0,0,0.207547169811321,0.792452830188679,"Polar-Temperate"
"14","c5dd19dff1","fd400a6a51",35,118,159,8,151,471,0.0743099787685775,0.250530785562633,0.320594479830149,0.337579617834395,0.0169851380042463,0.588110403397028,0.0912951167728238,"Cosmopolitan"
"15","e4c749ac0b","b436e7c652",13,0,0,0,0,13,1,0,0,0,0,0,1,"Polar"
"16","b90e070e4e","3678d85483",88,14,21,18,0,141,0.624113475177305,0.099290780141844,0,0.148936170212766,0.127659574468085,0.24822695035461,0.75177304964539,"Polar-Temperate"
"17","6aa05b1319","19576a3b7e",32,0,0,0,0,32,1,0,0,0,0,0,1,"Polar"
"18","887e03c0a4","e69dcf7956",42,0,0,0,0,42,1,0,0,0,0,0,1,"Polar"
"19","d3d233a12c","2c1f3b53eb",54,0,47,33,0,134,0.402985074626866,0,0,0.350746268656716,0.246268656716418,0.350746268656716,0.649253731343284,"Polar-Temperate"
"21","e643341e52","3f2c3e8d96",7,5,13,16,0,41,0.170731707317073,0.121951219512195,0,0.317073170731707,0.390243902439024,0.439024390243902,0.560975609756098,"Polar-Temperate"
"22","58a35e6970","603d7fa59b",41,0,0,0,0,41,1,0,0,0,0,0,1,"Polar"
"23","38339c0b55","d6b39ef420",47,0,0,0,0,47,1,0,0,0,0,0,1,"Polar"
"24","7c17a19c86","5e55a1658d",24,62,53,10,7,156,0.153846153846154,0.397435897435897,0.0448717948717949,0.33974358974359,0.0641025641025641,0.737179487179487,0.217948717948718,"Polar-Temperate"
"26","7bdf820b47","59d506eeed",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"27","38e353ec2a","2d8af23d61",28,0,9,16,0,53,0.528301886792453,0,0,0.169811320754717,0.30188679245283,0.169811320754717,0.830188679245283,"Polar-Temperate"
"28","786107af80","b79e1c69d1",33,0,0,0,0,33,1,0,0,0,0,0,1,"Polar"
"30","580ca71171","01bb24bb06",55,35,0,0,0,90,0.611111111111111,0.388888888888889,0,0,0,0.388888888888889,0.611111111111111,"Polar-Temperate"
"31","814086cfc6","f458005d3a",8,0,0,0,0,8,1,0,0,0,0,0,1,"Polar"
"32","4ce1f6f873","2c90da1fc8",32,8,0,0,0,40,0.8,0.2,0,0,0,0.2,0.8,"Polar-Temperate"
"33","bda1e9880e","b8ac3700cf",23,0,17,23,0,63,0.365079365079365,0,0,0.26984126984127,0.365079365079365,0.26984126984127,0.73015873015873,"Polar-Temperate"
"34","2976201d4c","1142e285bf",44,9,0,0,0,53,0.830188679245283,0.169811320754717,0,0,0,0.169811320754717,0.830188679245283,"Polar-Temperate"
"35","af1aaa8d76","84b35cdfee",32,123,107,8,77,347,0.0922190201729107,0.354466858789625,0.221902017291066,0.30835734870317,0.0230547550432277,0.662824207492795,0.115273775216138,"Cosmopolitan"
"36","f8124a0c4a","1e1c3721cb",24,0,0,0,0,24,1,0,0,0,0,0,1,"Polar"
"37","0d0d82933b","2a638db8a7",43,0,0,0,0,43,1,0,0,0,0,0,1,"Polar"
"38","a8ebb7c1b9","1da8545dd2",32,0,0,0,0,32,1,0,0,0,0,0,1,"Polar"
"39","3f8a8b4361","8fb46af87d",60,11,29,0,0,100,0.6,0.11,0,0.29,0,0.4,0.6,"Polar-Temperate"
"40","947233f3fc","8882d338f3",8,0,0,0,0,8,1,0,0,0,0,0,1,"Polar"
"41","d955945ff2","867ee19c5b",6,0,0,0,0,6,1,0,0,0,0,0,1,"Polar"
"42","493f0c807c","277b604b28",6,0,0,0,0,6,1,0,0,0,0,0,1,"Polar"
"43","8ddd1bcb4c","8ddd1bcb4c",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"44","e854627298","4365442091",6,0,0,0,0,6,1,0,0,0,0,0,1,"Polar"
"45","8d52397222","43522bf6ad",29,0,0,0,0,29,1,0,0,0,0,0,1,"Polar"
"47","2db83b27ef","2055c67d3c",19,13,16,6,0,54,0.351851851851852,0.240740740740741,0,0.296296296296296,0.111111111111111,0.537037037037037,0.462962962962963,"Polar-Temperate"
"48","f8e72633f2","0e95370138",47,45,86,23,20,221,0.212669683257919,0.203619909502262,0.0904977375565611,0.389140271493213,0.104072398190045,0.592760180995475,0.316742081447964,"Cosmopolitan"
"50","3ceb5293b3","a1d934ee9d",19,0,0,0,0,19,1,0,0,0,0,0,1,"Polar"
"51","3f04bb4a21","e3996587f2",26,0,0,0,0,26,1,0,0,0,0,0,1,"Polar"
"52","307d348192","b03e8c0de8",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"53","cf214a033f","582f8a7000",7,0,18,5,0,30,0.233333333333333,0,0,0.6,0.166666666666667,0.6,0.4,"Polar-Temperate"
"54","9ac62ee7e2","73137bb27e",14,12,9,0,19,54,0.259259259259259,0.222222222222222,0.351851851851852,0.166666666666667,0,0.388888888888889,0.259259259259259,"Cosmopolitan"
"55","6b2ce23d88","fc8acfd000",39,0,0,0,0,39,1,0,0,0,0,0,1,"Polar"
"56","019e1c9f33","e23bf8e060",26,0,0,0,0,26,1,0,0,0,0,0,1,"Polar"
"57","ed878e7edf","437eb83197",29,0,0,0,0,29,1,0,0,0,0,0,1,"Polar"
"58","cc177b9b49","160882f9fb",72,11,28,33,0,144,0.5,0.0763888888888889,0,0.194444444444444,0.229166666666667,0.270833333333333,0.729166666666667,"Polar-Temperate"
"59","7cdbf3a960","7e48fab454",52,0,0,0,0,52,1,0,0,0,0,0,1,"Polar"
"60","570d5dd44f","278cb882ad",0,5,14,13,0,32,0,0.15625,0,0.4375,0.40625,0.59375,0.40625,"Polar-Temperate"
"61","cf84e379f5","26e2f2ef61",15,0,27,19,0,61,0.245901639344262,0,0,0.442622950819672,0.311475409836066,0.442622950819672,0.557377049180328,"Polar-Temperate"
"63","f56771a789","d95e4ca0ff",32,0,0,0,0,32,1,0,0,0,0,0,1,"Polar"
"64","7f312afd66","233717cf0c",53,49,44,7,0,153,0.34640522875817,0.320261437908497,0,0.287581699346405,0.0457516339869281,0.607843137254902,0.392156862745098,"Polar-Temperate"
"65","15a32b4240","4969737337",5,0,0,13,0,18,0.277777777777778,0,0,0,0.722222222222222,0,1,"Polar"
"69","292382368e","c08015cc71",21,0,0,0,0,21,1,0,0,0,0,0,1,"Polar"
"70","19b4f273f5","34de6f8a88",16,0,0,0,0,16,1,0,0,0,0,0,1,"Polar"
"71","f9e1a04263","08538f2071",13,10,64,11,8,106,0.122641509433962,0.0943396226415094,0.0754716981132075,0.60377358490566,0.10377358490566,0.69811320754717,0.226415094339623,"Cosmopolitan"
"73","94770da8f6","64380a0986",14,0,0,0,0,14,1,0,0,0,0,0,1,"Polar"
"74","3ba36b482a","e3ef04003d",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"75","845f449df8","09d136a6f1",10,0,0,0,0,10,1,0,0,0,0,0,1,"Polar"
